id,name,is_bot,roles
1171024477149204490,Dquynhu,False,"(957854915194126339, 957854915194126336)"
1192704975147630612,Nhi,False,"(957854915194126339, 957854915194126336)"
972480442202718218,Victor Hieu Nguyen,False,"(957854915194126339, 957854915194126336)"
907563005343039488,Thu Thảo,False,"(957854915194126339, 957854915194126336)"
576994735768731648,Gii Dolorés,False,"(957854915194126339, 957854915194126336)"
845971584527368192,Kos_Nhan,False,"(957854915194126339, 957854915227697163, 957854915194126336)"
1170383281737433229,Quang Cảnh,False,"(957854915194126339, 957854915194126336)"
1015275216135540757,CalvinLe,False,"(957854915194126339, 957854915194126336)"
1076163564345229463,Vân Anh,False,"(957854915194126339, 957854915194126336)"
595193063345881098,minhdh,False,"(957854915194126338, 957854915227697162, 957854915210915870, 957854915210915871, 957854915194126336)"
1209517847815131266,Jimmy Bui,False,"(957854915194126339, 957854915194126336)"
371900356373774336,ducminhlehoang,False,"(957854915194126339, 957854915194126336)"
957891037563605013,,True,"(957854915194126339, 957854915227697164, 957892707420880950, 957854915194126336)"
1192662289275428926,Tho Vo,False,"(957854915194126339, 957854915194126336)"
987984946197061663,cuongnguyen79,False,"(957854915227697163, 957854915210915870, 957854915210915871, 957854915194126336)"
668688535255121951,Hung Pham,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
406664026802749450,Tuấn Minh,False,"(957854915194126339, 957854915194126336)"
1008732187786477659,Milan Tran - DS,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
727772480290422804,datphung239,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
953977227425509386,Mayth,False,"(957854915194126339, 957854915194126336)"
265010463203393536,Dang Quang,False,"(957854915227697163, 957854915210915870, 957854915194126336)"
1003166420751884460,MioTu,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
1039682586525569054,,False,"(957854915194126339, 957854915194126336)"
672418635364565002,Xạ thủ Trung kỳ,False,"(957854915194126339, 957854915194126336)"
775674420768407562,careis * ♡ ｡✧,False,"(957854915227697162, 957854915194126336)"
1169931792778788874,Ngoc Nguyen,False,"(957854915194126339, 957854915194126336)"
965600330765205504,Hanh DS,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
944455368321425499,trungngo87,False,"(957854915194126339, 957854915194126336)"
748725944482529302,,False,"(957854915194126339, 957854915194126336)"
747488747301371914,,False,"(973873459945959424, 957854915227697162, 957854915194126339, 957854915210915870, 957854915194126336)"
889337361002029078,Giang Phùng-DS,False,"(957854915194126339, 957854915194126336)"
783735921718722591,Huan Nguyen,False,"(957854915194126339, 957854915194126336)"
1185393433960009875,Uyên,False,"(957854915194126339, 957854915194126336)"
1150086050753040526,Chinh Nguyen,False,"(957854915194126339, 957854915194126336)"
1163469683769487551,Giang Nam,False,"(957854915194126339, 957854915194126336)"
988291998295400529,JasonNg,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
538708392881946624,,False,"(957854915194126339, 957854915194126336)"
891659387171651595,hoangthu,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
1154700638534516736,Kate,False,"(957854915194126339, 957854915194126336)"
1043753098381893642,phuc,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
695255518729601075,quan,False,"(957854915194126339, 957854915194126336)"
1082292222671724564,Hang Mai,False,"(957854915227697162, 957854915194126336)"
942753343183388683,VicNg,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
